,seed,save_file,force_overwrite,weight_std_reward,weight_std_policy,env_name,std_obs_scale_train,std_obs_scales_test,search_method,learning_rate,n_samples,sample_radius,n_iterations,T,n_evals,top_k,train_rews,final_train_rews,final_test_rews_0,final_test_rews_0.25,final_test_rews_0.5,final_test_rews_1
0,0,data.csv,False,0.0,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",RS,0.01,10,0.1,30,200,10,5,"[9.5, 147.1, 152.7, 157.8, 188.1, 188.8, 150.9, 174.5, 156.1, 173.1, 161.2, 169.9, 165.7, 193.7, 180.6, 197.6, 194.6, 189.5, 184.8, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 200., 200., 200., 200., 200., 200., 190., 200., 200.])","array([102., 154., 200., 200., 195., 200., 111., 200., 193., 116.])","array([117.,  27., 125., 145., 136., 167., 132.,  76.,  59.,  40.])"
0,0,data.csv,False,0.5,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",RS,0.01,10,0.1,30,200,10,5,"[9.92912878474779, 144.2071209296968, 164.75611155620737, 200.0, 200.0, 200.0, 200.05540277567704, 200.0, 191.26611971880524, 200.7, 200.0, 200.0, 194.72068980059566, 200.3, 196.42339575914824, 200.0, 195.20014705755142, 197.75561443574284, 200.02432785983387, 200.076208734813, 199.3270384177097, 200.0919871588754, 200.0, 200.0, 200.0, 201.60000000000002, 200.0, 200.25, 200.63830292855994, 200.0]","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 200., 200., 200., 158., 200., 200., 200., 200., 200.])","array([200., 155., 135., 117., 200., 200., 200., 188., 200., 153.])","array([ 95.,  33., 145.,  39.,  34.,  46., 139.,  42.,  43.,  62.])"
0,0,data.csv,False,0.0,0.5,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",RS,0.01,10,0.1,30,200,10,5,"[36.77210630803543, 207.8014216509091, 198.0571555663839, 205.3611447614332, 197.55811333906698, 192.54362780809402, 182.86550054988436, 205.05562142341137, 206.43442259547714, 201.97489645718142, 198.86712082266482, 189.37187403192286, 171.96600253865645, 203.32878141552416, 173.21328316794944, 179.3080295513365, 194.06631534120015, 201.44687182647854, 202.23362460464523, 203.9692369315733, 190.96073320268255, 189.13246088713848, 198.75190144107873, 204.11035582401328, 200.82172075548814, 198.242385935564, 204.36290030616246, 201.83504768330417, 196.15396873176348, 199.97027413730873]","array([200., 200., 200., 182., 200., 200., 200., 200., 200., 200.])","array([200., 200., 176., 200., 200., 177., 168., 200., 200., 200.])","array([158., 200., 200., 200., 200., 148., 200., 200., 200., 200.])","array([190., 144., 200., 167., 132., 200., 177., 112., 118., 141.])","array([ 36.,  30., 130.,  99., 163.,  22.,  31.,  92.,  27., 140.])"
0,0,data.csv,False,0.25,0.25,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",RS,0.01,10,0.1,30,200,10,5,"[22.800014468682754, 215.11603143189376, 211.89061631077212, 210.3732637101348, 206.3243976985955, 203.87721630167832, 204.77073173108695, 205.86730133877577, 204.4227006737965, 203.62787816774488, 201.84770127455712, 202.10783656861722, 203.07953019955966, 191.63298348568605, 194.54569221451328, 194.03273666252142, 195.70949447757732, 195.8001616090945, 200.82657807357327, 198.11655944952855, 201.553214370627, 201.6933600383116, 200.0542753144575, 199.21942388584813, 200.08517912597688, 201.73807451269286, 197.57633830346845, 200.78113049032015, 189.30729456262856, 198.8182250713359]","array([200., 200., 164., 200., 180., 200., 200., 200., 200., 181.])","array([198., 200., 200., 200., 200., 200., 167., 200., 179., 170.])","array([162., 189., 200., 188., 168., 200., 200., 200., 184., 157.])","array([183., 137.,  26., 200., 127., 151., 200., 125.,  78., 113.])","array([ 95., 159.,  14.,  64.,  21., 143., 116.,  80., 119.,  35.])"
0,0,data.csv,False,0.0,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",CEM,0.01,10,0.1,30,200,10,5,"[9.3, 178.9, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([189., 200., 200., 122., 200., 200., 200., 200., 147., 200.])","array([130.,  85.,  67.,  88., 140., 150.,  97., 200.,  89., 148.])","array([ 16.,  70.,  24.,  94.,  33., 120.,  21.,  50.,  51.,  33.])"
0,0,data.csv,False,0.5,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",CEM,0.01,10,0.1,30,200,10,5,"[10.0, 175.67280000325562, 192.93577990825688, 200.02813532440362, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 199.88254244210265, 200.0, 200.2, 200.10000000000002, 200.19189243156887, 200.02075357208258, 201.0, 200.85000000000002, 200.0, 200.8, 200.75, 200.0, 200.14999999999998, 200.5]","array([200., 200., 200., 184., 200., 200., 180., 200., 200., 200.])","array([200., 200., 200., 200., 200., 183., 200., 200., 191., 200.])","array([165., 191., 159., 200., 200., 164., 198., 117., 200., 200.])","array([147., 103., 136., 200., 181., 139., 200., 200., 196.,  61.])","array([ 86., 167.,  20., 122.,  16.,  42.,  81.,  42.,  60.,  69.])"
0,0,data.csv,False,0.0,0.5,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",CEM,0.01,10,0.1,30,200,10,5,"[45.036110320957114, 90.7536150285807, 149.21094834447942, 164.3677017046969, 127.24264157038091, 182.81082170194728, 159.57045660513788, 171.5058019344171, 186.80017646829845, 190.15717337025575, 185.6128076487979, 199.32178466436136, 182.32163589500328, 189.79898584306235, 189.82603518078017, 195.37353997339847, 198.45443214244534, 200.43557433349545, 200.4377213725648, 200.68051451123395, 200.50815843985907, 200.0, 200.0, 200.615, 200.47647140522807, 197.375, 200.04500000000002, 200.83671978583035, 200.51623637996562, 200.30696090956343]","array([200., 200., 200., 175., 200., 200., 200., 200., 200., 200.])","array([200., 172., 200., 200., 200., 200., 163., 200., 200., 200.])","array([171., 178., 154., 163., 166., 200., 200., 142., 200., 200.])","array([139., 176., 140., 162., 115., 149., 113., 160.,  97., 150.])","array([115., 175., 155.,  80.,  53.,  42.,  27.,  35., 130., 172.])"
0,0,data.csv,False,0.25,0.25,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",CEM,0.01,10,0.1,30,200,10,5,"[24.796393517263684, 10.079975013046404, 9.851295711321708, 134.94954751758266, 105.21325402752439, 148.62338513140506, 133.93565419510372, 144.369413310828, 190.5352430259157, 168.70005206986187, 170.57154901211277, 200.76208232960727, 175.4924478158924, 202.74770358663375, 198.7965734753744, 196.91860160419438, 200.1348968366896, 198.71198942220056, 194.67667765620615, 198.69658256582133, 200.05201640503955, 197.67375402609306, 197.86345120353408, 200.2077301803314, 196.4654036670389, 200.29421067159447, 199.68072950603175, 200.21260010569773, 201.23887071281766, 198.8565506934259]","array([200., 177., 200., 200., 200., 200., 200., 200., 200., 200.])","array([200., 172., 200., 200., 200., 200., 200., 200., 200., 185.])","array([177., 131., 166., 189., 145., 157., 115., 118., 179., 173.])","array([127.,  89., 198., 177., 176., 112., 110., 119., 172., 106.])","array([180., 117., 104.,  29., 123.,  75., 104.,  33., 105., 152.])"
0,0,data.csv,False,0.0,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",GA,0.01,10,0.1,30,200,10,5,"[168.6, 200.0, 200.0, 200.0, 200.0, 174.6, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 194.7, 200.0, 9.4, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 138.6, 198.9]","array([200., 200., 200., 200., 200., 172., 200., 200., 200., 200.])","array([200., 200., 200., 200., 200., 161., 184., 200., 200., 177.])","array([200., 129., 200., 195., 146., 200., 178., 187., 200., 200.])","array([155., 140., 175., 178., 200., 195., 184., 200.,  86., 127.])","array([81., 36., 57., 79., 79., 15., 77., 82., 16., 19.])"
0,0,data.csv,False,0.5,0.0,CartPole-v1,0.0,"[0, 0.25, 0.5, 1]",GA,0.01,10,0.1,30,200,10,5,"[184.68305118614887, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 198.20797809337506, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 202.7, 200.0, 161.63328688954508, 200.0, 200.0, 197.172299611088, 200.27547462651384, 200.0, 200.0]","array([200., 200., 200., 193., 200., 200., 200., 147., 200., 200.])","array([200., 200., 200., 200., 200., 200., 200., 200., 200., 200.])","array([185., 200., 111., 200., 200., 200., 146., 200., 200., 166.])","array([157., 131., 136., 200., 109., 122., 200.,  66., 139., 142.])","array([ 35.,  34.,  42., 106.,  51.,  83.,  27.,  70., 200., 108.])"
